id_oblig,id_cli,cod_prod,vr_aprobado,vr_desembolsado,sdo_capital,vr_cuota,fec_desembolso,fec_venc,dias_mora_act,num_cuotas_pend,calif_riesgo
1,4304,P017,44303408.0,10760599.946760608,31790912.45009602,814397.0,2023-02-04,2023-01-18,0.0,34.0,C
2,5389,P030,41223447.0,35584033.29624954,37566225.63248684,772934.0,2023-05-26,2023-12-02,120.0,39.0,A
3,843,P046,7778655.0,31794741.36435869,11353622.77692018,820949.0,2023-12-18,2023-10-20,0.0,32.0,D
4,8839,P046,19396857.0,15868848.666991577,33196460.58187752,258050.0,2023-12-10,2023-05-28,10.0,13.0,B
5,4219,P041,21501764.0,30831219.10156843,16043858.247950617,711834.0,2023-08-18,2023-02-03,30.0,8.0,D
6,815,P024,,18604227.30850213,46571506.84536662,429415.0,2023-04-20,2023-01-21,10.0,39.0,D
7,4689,,,41834408.967256494,32084133.694536358,427515.0,2023-03-18,2023-08-15,0.0,6.0,D
8,7891,P045,10933569.0,45205922.60664255,19457107.96810505,684260.0,2023-08-01,2023-08-23,30.0,32.0,C
9,8333,P008,37971479.0,44221299.83948726,,288986.0,2023-12-21,2023-08-30,0.0,1.0,E
10,5912,P040,30981048.0,27077177.29766733,18919023.067887515,571185.0,2023-01-22,2023-02-14,10.0,9.0,B
11,4530,P022,28076550.0,21779462.35913948,39789875.023743525,848253.0,2023-08-08,2023-06-21,0.0,44.0,B
12,869,P019,38637749.0,24209293.887519676,40008339.13221475,75476.0,2023-12-29,2023-04-15,10.0,30.0,
13,8915,P005,7247529.0,22101090.28188221,32155852.010296907,474779.0,2023-09-26,2023-12-08,30.0,8.0,A
14,3307,P010,40431295.0,21818377.832349963,19938327.22799052,139129.0,2023-09-12,2023-06-25,0.0,7.0,B
15,3621,P038,7265576.0,42849568.10596425,32176967.436448038,154283.0,2023-07-18,2023-05-22,10.0,33.0,A
16,2950,P019,41290832.0,,18849713.053548966,644121.0,2023-08-29,2023-03-10,60.0,30.0,C
17,5425,P029,32664019.0,6578180.585264495,46622670.47102819,412655.0,2023-08-31,2023-09-24,0.0,44.0,D
18,8545,P016,40198804.0,23862840.54641651,2764229.1039839247,325110.0,,2023-02-05,0.0,14.0,A
19,1371,P008,8453069.0,29985052.348764878,14044871.269675799,220141.0,2023-04-15,2023-09-28,120.0,19.0,D
20,7338,P020,33895818.0,29776617.787124287,12834233.433847137,114074.0,2023-01-24,2023-02-02,,25.0,A
